Protein,p_ID
POLR2J2,p000853
GPR89B,p000854
SMARCD2,p000855
CDK10,p000856
PNPLA7,p000857
AKT1S1,p000858
RNF169,p000859
FAM89B,p000860
C18orf19,p000861
TINF2,p000862
PTMA,p000863
EHBP1L1,p000864
EIF3CL,p000865
HOOK2,p000866
C19orf76,p000867
NBPF24,p000868
SIKE,p000869
NBPF16,p000870
SYCE2,p000871
TLK2,p000872
ZNF276,p000873
UPK3BL,p000874
AGAP2,p000875
THTPA,p000876
ORAI2,p000877
CSK,p000878
ACSF3,p000879
CBX1,p000880
SPG21,p000881
FBLN7,p000882
SULF1,p000883
SLC39A13,p000884
TPRN,p000885
NUDT22,p000886
CLK3,p000887
KARS,p000888
NR1H3,p000889
LTBP3,p000890
SMARCC2,p000891
PSMB5,p000892
NELF,p000893
CIZ1,p000894
ACP2,p000895
ARFRP1,p000896
KLC2,p000897
DNAJB5,p000898
SIGIRR,p000899
PIP5K1A,p000900
PHPT1,p000901
DOLPP1,p000902
FXYD3,p000903
KLK11,p000904
ZNF692,p000905
DHRS1,p000906
CPT1C,p000907
ATF6B,p000908
GRAMD1A,p000909
AGER,p000910
ANP32E,p000911
LYSMD1,p000912
EDC3,p000913
CASKIN2,p000914
PIEZO1,p000915
LTB4R,p000916
BANF1,p000917
NDOR1,p000918
CD58,p000919
DOK3,p000920
TM6SF1,p000921
EFCAB3,p000922
PALM3,p000923
Smad3,p000924
RELA,p000925
TMC4,p000926
LRTOMT,p000927
ALDH16A1,p000928
SETDB1,p000929
EHMT1,p000930
GLG1,p000931
RDH13,p000932
JPH4,p000933
MBOAT7,p000934
MFSD10,p000935
RASGRP4,p000936
KDM5C,p000937
BNIPL,p000938
FCHO1,p000939
GYS1,p000940
TMEM189,p000941
C17orf109,p000942
C17orf110,p000943
ZNF580,p000944
WDR81,p000945
VSIG10L,p000946
EIF4ENIF1,p000947
DOK7,p000948
LTB4R2,p000949
PYGM,p000950
SLC25A11,p000951
GDPD1,p000952
SKA3,p000953
CLCF1,p000954
DHX40,p000955
SPDYE2L,p000956
TPBG,p000957
NDUFB4,p000958
CUL7,p000959
SAP25,p000960
PCTK1,p000961
LPPR2,p000962
IFITM10,p000963
CLCN2,p000964
FAM131A,p000965
CAMTA2,p000966
CXorf40A,p000967
FUZ,p000968
CELF3,p000969
RAB40C,p000970
SLC34A3,p000971
STAT6,p000972
TSSK4,p000973
PEX11B,p000974
ESYT1,p000975
C9orf25,p000976
KIAA0430,p000977
NOL3,p000978
ARHGDIA,p000979
TMEM238,p000980
FAM193B,p000981
SYTL1,p000982
NUP62,p000983
DIDO1,p000984
UCKL1,p000985
MAP3K12,p000986
ATF5,p000987
POGZ,p000988
DDIT3,p000989
C19orf81,p000990
TRPM4,p000991
IRF3,p000992
HIRIP3,p000993
ARNT,p000994
ADCY4,p000995
PI4KB,p000996
PSMC5,p000997
CEP112,p000998
MYL6B,p000999
MDP1,p001000
NEDD8-MDP1,p001001
SH3GL1,p001002
MDM4,p001003
FLT3LG,p001004
SCNM1,p001005
CHTOP,p001006
KAT5,p001007
TFR2,p001008
C16orf3,p001009
EIF1AD,p001010
DEF8,p001011
LOC100293534,p001012
KLHDC3,p001013
PDE8A,p001014
B9D1,p001015
CD2BP2,p001016
SPIB,p001017
STX5,p001018
TAOK2,p001019
ZBTB7B,p001020
TRIM65,p001021
ANKRD11,p001022
ARAF,p001023
KIF22,p001024
KRT8,p001025
TMPRSS3,p001026
PTK6,p001027
DENND2C,p001028
PRRT2,p001029
TRIM46,p001030
NR1H2,p001031
CHD2,p001032
AP1S1,p001033
CTSW,p001034
DSCAM,p001035
EEF1G,p001036
CELSR2,p001037
GAS8,p001038
HAS1,p001039
SLC29A2,p001040
ABCA2,p001041
ADRBK1,p001042
CFB,p001043
CENPB,p001044
COX5B,p001045
CTSD,p001046
CYC1,p001047
EEF1A2,p001048
FAU,p001049
GABPB1,p001050
GH2,p001051
IGHMBP2,p001052
LRCH4,p001053
