Symbol,LncBook ID,NONCODE ID,Ensemble ID,RefSeq ID,l_ID
NONHSAG010780,-,NONHSAG010780,-,-,l024942
NONHSAG022508,-,NONHSAG022508,-,-,l024943
NONHSAG029629,-,NONHSAG029629,-,-,l024944
NONHSAG011438,-,NONHSAG011438,-,-,l024945
NONHSAG035828,-,NONHSAG035828,-,-,l024946
NONHSAG015951,-,NONHSAG015951,-,-,l024947
NONHSAG034441,-,NONHSAG034441,-,-,l024948
NONHSAG034442,-,NONHSAG034442,-,-,l024949
NONHSAG034445,-,NONHSAG034445,-,-,l024950
NONHSAG024217,-,NONHSAG024217,-,-,l024951
NONHSAG024210,-,NONHSAG024210,-,-,l024952
NONHSAG033870,-,NONHSAG033870,-,-,l024953
NONHSAG033872,-,NONHSAG033872,-,-,l024954
RPI002_005028,-,NONHSAG035121,-,-,l024955
NONHSAG021364,-,NONHSAG021364,-,-,l024956
NONHSAG001128,-,NONHSAG001128,-,-,l024957
NONHSAG020018,-,NONHSAG020018,-,-,l024958
NONHSAG020017,-,NONHSAG020017,-,-,l024959
NONHSAG020012,-,NONHSAG020012,-,-,l024960
NONHSAG039928,-,NONHSAG039928,-,-,l024961
NONHSAG036752,-,NONHSAG036752,-,-,l024962
NONHSAG039923,-,NONHSAG039923,-,-,l024963
NONHSAG036757,-,NONHSAG036757,-,-,l024964
NONHSAG032041,-,NONHSAG032041,-,-,l024965
NONHSAG032047,-,NONHSAG032047,-,-,l024966
NONHSAG032045,-,NONHSAG032045,-,-,l024967
NONHSAG048784,-,NONHSAG048784,-,-,l024968
NONHSAG037405,-,NONHSAG037405,-,-,l024969
NONHSAG037407,-,NONHSAG037407,-,-,l024970
NONHSAG037401,-,NONHSAG037401,-,-,l024971
NONHSAG034831,-,NONHSAG034831,-,-,l024972
RPI002_005046,-,NONHSAG034839,-,-,l024973
NONHSAG048124,-,NONHSAG048124,-,-,l024974
NONHSAG044200,-,NONHSAG044200,-,-,l024975
NONHSAG044203,-,NONHSAG044203,-,-,l024976
NONHSAG008235,-,NONHSAG008235,-,-,l024977
NONHSAG008237,-,NONHSAG008237,-,-,l024978
NONHSAG048785,-,NONHSAG048785,-,-,l024979
RPI002_005053,-,NONHSAG047151,-,-,l024980
NONHSAG047153,-,NONHSAG047153,-,-,l024981
NONHSAG047154,-,NONHSAG047154,-,-,l024982
NONHSAG047156,-,NONHSAG047156,-,-,l024983
NONHSAG047158,-,NONHSAG047158,-,-,l024984
NONHSAG048871,-,NONHSAG048871,-,-,l024985
NONHSAG048875,-,NONHSAG048875,-,-,l024986
RPI002_005060,-,NONHSAG052658,-,-,l024987
NONHSAG052650,-,NONHSAG052650,-,-,l024988
NONHSAG052655,-,NONHSAG052655,-,-,l024989
NONHSAG005144,-,NONHSAG005144,-,-,l024990
NONHSAG053292,-,NONHSAG053292,-,-,l024991
NONHSAG053290,-,NONHSAG053290,-,-,l024992
NONHSAG053291,-,NONHSAG053291,-,-,l024993
RPI002_005067,-,NONHSAG016840,-,-,l024994
NONHSAG001246,-,NONHSAG001246,-,-,l024995
NONHSAG049292,-,NONHSAG049292,-,-,l024996
RPI002_005070,-,NONHSAG036418,-,-,l024997
NONHSAG036417,-,NONHSAG036417,-,-,l024998
NONHSAG036412,-,NONHSAG036412,-,-,l024999
RPI002_005073,-,NONHSAG041261,-,-,l025000
NONHSAG055241,-,NONHSAG055241,-,-,l025001
NONHSAG011233,-,NONHSAG011233,-,-,l025002
NONHSAG011234,-,NONHSAG011234,-,-,l025003
NONHSAG011386,-,NONHSAG011386,-,-,l025004
NONHSAG005971,-,NONHSAG005971,-,-,l025005
NONHSAG029353,-,NONHSAG029353,-,-,l025006
NONHSAG029351,-,NONHSAG029351,-,-,l025007
NONHSAG029356,-,NONHSAG029356,-,-,l025008
NONHSAG023053,-,NONHSAG023053,-,-,l025009
NONHSAG028003,-,NONHSAG028003,-,-,l025010
NONHSAG028008,-,NONHSAG028008,-,-,l025011
NONHSAG003488,-,NONHSAG003488,-,-,l025012
NONHSAG004598,-,NONHSAG004598,-,-,l025013
NONHSAG004595,-,NONHSAG004595,-,-,l025014
RPI002_005088,-,NONHSAG002288,-,-,l025015
NONHSAG002283,-,NONHSAG002283,-,-,l025016
NONHSAG002282,-,NONHSAG002282,-,-,l025017
NONHSAG002286,-,NONHSAG002286,-,-,l025018
NONHSAG002285,-,NONHSAG002285,-,-,l025019
