NoncodeGeneID,l_ID
NONMMUG002440.2,l00824
NONMMUG002445.2,l00825
NONMMUG000183.2,l00826
NONMMUG046545.1,l00827
NONMMUG002453.2,l00828
NONMMUG002457.2,l00829
NONMMUG002458.2,l00830
NONMMUG002459.2,l00831
NONMMUG002461.2,l00832
NONMMUG002463.2,l00833
NONMMUG002466.2,l00834
NONMMUG002467.2,l00835
NONMMUG002468.2,l00836
NONMMUG002470.2,l00837
NONMMUG002472.2,l00838
NONMMUG002482.2,l00839
NONMMUG002488.2,l00840
NONMMUG002489.2,l00841
NONMMUG002493.2,l00842
NONMMUG002494.2,l00843
NONMMUG002495.2,l00844
NONMMUG002499.2,l00845
NONMMUG002500.2,l00846
NONMMUG002501.2,l00847
NONMMUG002503.2,l00848
NONMMUG002504.2,l00849
NONMMUG002505.2,l00850
NONMMUG002506.2,l00851
NONMMUG002507.2,l00852
NONMMUG049349.1,l00853
NONMMUG049350.1,l00854
NONMMUG002509.2,l00855
NONMMUG002510.2,l00856
NONMMUG002512.2,l00857
NONMMUG002513.2,l00858
NONMMUG000185.2,l00859
NONMMUG002514.2,l00860
NONMMUG002515.2,l00861
NONMMUG002517.2,l00862
NONMMUG002519.2,l00863
NONMMUG047639.1,l00864
NONMMUG000186.2,l00865
NONMMUG002520.2,l00866
NONMMUG002521.2,l00867
NONMMUG002522.2,l00868
NONMMUG002523.2,l00869
NONMMUG002524.2,l00870
NONMMUG002525.2,l00871
NONMMUG002526.2,l00872
NONMMUG002527.2,l00873
NONMMUG002528.2,l00874
NONMMUG002530.2,l00875
NONMMUG002531.2,l00876
NONMMUG002532.2,l00877
NONMMUG002533.2,l00878
NONMMUG002534.2,l00879
NONMMUG002535.2,l00880
NONMMUG002536.2,l00881
NONMMUG002537.2,l00882
NONMMUG047647.1,l00883
NONMMUG002538.2,l00884
NONMMUG002539.2,l00885
NONMMUG002541.2,l00886
NONMMUG047658.1,l00887
NONMMUG002545.2,l00888
NONMMUG002547.2,l00889
NONMMUG002548.2,l00890
NONMMUG047671.1,l00891
NONMMUG002549.2,l00892
NONMMUG002550.2,l00893
NONMMUG002551.2,l00894
NONMMUG002552.2,l00895
NONMMUG002553.2,l00896
NONMMUG002555.2,l00897
NONMMUG002557.2,l00898
NONMMUG087769.1,l00899
NONMMUG002558.2,l00900
NONMMUG002561.2,l00901
NONMMUG002562.2,l00902
NONMMUG002566.2,l00903
NONMMUG002567.2,l00904
NONMMUG002568.2,l00905
NONMMUG047689.1,l00906
NONMMUG002569.2,l00907
NONMMUG002570.2,l00908
NONMMUG002572.2,l00909
NONMMUG002573.2,l00910
NONMMUG002574.2,l00911
NONMMUG002575.2,l00912
NONMMUG002576.2,l00913
NONMMUG000187.3,l00914
NONMMUG002578.2,l00915
NONMMUG087997.1,l00916
NONMMUG002581.2,l00917
NONMMUG002582.2,l00918
NONMMUG049402.1,l00919
NONMMUG002586.2,l00920
NONMMUG002587.2,l00921
NONMMUG002591.2,l00922
NONMMUG002593.2,l00923
NONMMUG000188.2,l00924
NONMMUG002594.2,l00925
NONMMUG002596.2,l00926
NONMMUG002597.2,l00927
NONMMUG002600.3,l00928
