NoncodeGeneID,tarName
NONMMUG048971.1,Tdp43
NONMMUG048971.1,Fus
NONMMUG048972.1,Fus
NONMMUG048972.1,Tdp43
NONMMUG048973.1,Fus
NONMMUG048973.1,Tdp43
NONMMUG048974.1,Tdp43
NONMMUG048974.1,Fus
NONMMUG048975.1,Tdp43
NONMMUG048975.1,Fus
NONMMUG048976.1,Fus
NONMMUG048976.1,Tdp43
NONMMUG048977.1,Fus
NONMMUG048977.1,Tdp43
NONMMUG048978.1,Fus
NONMMUG048978.1,Tdp43
NONMMUG048979.1,Fus
NONMMUG048979.1,Tdp43
NONMMUG048980.1,Tdp43
NONMMUG048980.1,Fus
NONMMUG048981.1,Fus
NONMMUG048981.1,Tdp43
NONMMUG048982.1,Tdp43
NONMMUG048982.1,Fus
NONMMUG048983.1,Tdp43
NONMMUG048983.1,Fus
NONMMUG048984.1,Fus
NONMMUG048984.1,Tdp43
NONMMUG048985.1,Fus
NONMMUG048985.1,Tdp43
NONMMUG048986.1,Tdp43
NONMMUG048986.1,Fus
NONMMUG048987.1,Tdp43
NONMMUG048987.1,Fus
NONMMUG048988.1,Fus
NONMMUG048988.1,Tdp43
NONMMUG048989.1,Fus
NONMMUG048989.1,Tdp43
NONMMUG048990.1,Fus
NONMMUG048990.1,Tdp43
NONMMUG048991.1,Tdp43
NONMMUG048991.1,Fus
NONMMUG048992.1,Tdp43
NONMMUG048992.1,Fus
NONMMUG048993.1,Tdp43
NONMMUG048993.1,Fus
NONMMUG048994.1,Fus
NONMMUG048994.1,Tdp43
NONMMUG048995.1,Fus
NONMMUG048995.1,Tdp43
NONMMUG048996.1,Tdp43
NONMMUG048996.1,Fus
NONMMUG048997.1,Fus
NONMMUG048997.1,Tdp43
NONMMUG048998.1,Fus
NONMMUG048998.1,Tdp43
NONMMUG048999.1,Fus
NONMMUG048999.1,Tdp43
NONMMUG049000.1,Tdp43
NONMMUG049000.1,Fus
NONMMUG049001.1,Fus
NONMMUG049002.1,Fus
NONMMUG049003.1,Fus
NONMMUG049003.1,Tdp43
NONMMUG049004.1,Fus
NONMMUG049004.1,Tdp43
NONMMUG049005.1,Fus
NONMMUG049005.1,Tdp43
NONMMUG049006.1,Fus
NONMMUG049006.1,Tdp43
NONMMUG049006.1,FMRP
NONMMUG049007.1,Fus
NONMMUG049007.1,Tdp43
NONMMUG049008.1,Tdp43
NONMMUG049008.1,Fus
NONMMUG049009.1,Fus
NONMMUG049009.1,Tdp43
NONMMUG049010.1,Fus
NONMMUG049011.1,Tdp43
NONMMUG049011.1,Fus
NONMMUG049012.1,Fus
NONMMUG049012.1,Tdp43
NONMMUG049013.1,Fus
NONMMUG049013.1,Tdp43
NONMMUG049014.1,Fus
NONMMUG049014.1,Tdp43
NONMMUG049015.1,Tdp43
NONMMUG049015.1,Fus
NONMMUG049015.1,FMRP
NONMMUG049016.1,Fus
NONMMUG049016.1,Tdp43
NONMMUG049017.1,Tdp43
NONMMUG049017.1,Fus
NONMMUG049018.1,Fus
NONMMUG049018.1,Tdp43
NONMMUG049019.1,Fus
NONMMUG049019.1,Tdp43
NONMMUG049020.1,Fus
NONMMUG049020.1,Tdp43
NONMMUG001637.2,Fus
NONMMUG001637.2,Tdp43
NONMMUG049021.1,Fus
NONMMUG049021.1,Tdp43
NONMMUG049022.1,Fus
NONMMUG049022.1,Tdp43
NONMMUG049022.1,Upf1
NONMMUG049023.1,Fus
NONMMUG049023.1,Tdp43
NONMMUG049024.1,Fus
NONMMUG049024.1,Tdp43
NONMMUG001638.2,Tdp43
NONMMUG001638.2,Upf1
NONMMUG001646.2,Tdp43
NONMMUG001647.2,Tdp43
NONMMUG001648.2,Fus
NONMMUG001648.2,Tdp43
NONMMUG001650.2,Tdp43
NONMMUG001650.2,Fus
NONMMUG001651.2,Fus
NONMMUG001651.2,Tdp43
NONMMUG001651.2,Celf1
NONMMUG001652.2,Tdp43
NONMMUG047303.1,Tdp43
NONMMUG000114.2,TIA1
NONMMUG000114.2,PSPC1
NONMMUG001656.2,Tdp43
NONMMUG001656.2,Fus
NONMMUG049030.1,Fus
NONMMUG049030.1,Tdp43
NONMMUG001657.2,Fus
NONMMUG001657.2,Tdp43
NONMMUG049031.2,Tardbp
NONMMUG049031.2,Fus
NONMMUG049031.2,Tdp43
NONMMUG001658.2,Tardbp
NONMMUG001658.2,Fus
NONMMUG001658.2,Tdp43
NONMMUG001659.2,Tdp43
NONMMUG001659.2,Fus
NONMMUG000117.2,JARID2
NONMMUG001660.2,Upf1
NONMMUG001660.2,Nova1
NONMMUG001660.2,Tdp43
NONMMUG001660.2,Fus
NONMMUG001660.2,FMRP
NONMMUG001661.2,Tdp43
NONMMUG001661.2,Fus
NONMMUG001662.2,FMRP
NONMMUG001664.2,Tdp43
NONMMUG001664.2,Upf1
NONMMUG001664.2,Fus
NONMMUG001665.2,Tdp43
NONMMUG001669.2,Fus
