l_ID,p_ID
l00423,p16
l00423,p31
l00423,p36
l00423,p27
l00423,p25
l00423,p21
l00423,p32
l00423,p17
l00423,p15
l00424,p06
l00425,p00
l00426,p10
l00427,p01
l00428,p00
l00428,p01
l00429,p03
l00429,p00
l00429,p01
l00430,p00
l00431,p03
l00431,p00
l00431,p01
l00432,p03
l00432,p00
l00432,p01
l00433,p03
l00433,p00
l00433,p01
l00434,p03
l00434,p00
l00435,p00
l00436,p00
l00437,p00
l00438,p00
l00438,p02
l00438,p01
l00439,p03
l00439,p00
l00439,p01
l00439,p23
l00439,p14
l00439,p22
l00439,p11
l00439,p31
l00439,p18
l00439,p13
l00440,p00
l00440,p06
l00440,p01
l00441,p00
l00442,p00
l00442,p06
l00443,p01
l00444,p01
l00445,p01
l00445,p02
l00445,p06
l00445,p00
l00445,p08
l00445,p30
l00446,p02
l00446,p01
l00447,p02
l00447,p01
l00448,p02
l00448,p01
l00449,p02
l00449,p01
l00450,p02
l00450,p01
l00450,p06
l00450,p00
l00450,p08
l00450,p30
l00451,p02
l00451,p01
l00452,p02
l00452,p01
l00453,p02
l00453,p01
l00454,p06
l00454,p01
l00454,p02
l00455,p08
l00455,p02
l00455,p01
l00456,p02
l00456,p01
l00457,p30
l00457,p06
l00457,p02
l00457,p01
l00458,p01
l00458,p02
l00459,p02
l00459,p01
l00460,p00
l00461,p02
l00462,p02
l00462,p01
l00463,p01
l00464,p02
l00464,p01
l00465,p01
l00466,p00
l00466,p02
l00466,p01
l00466,p03
l00467,p00
l00468,p00
l00469,p00
l00469,p01
l00469,p02
l00470,p01
l00471,p01
l00471,p00
l00472,p01
l00473,p01
l00474,p00
l00474,p01
l00474,p02
l00475,p02
l00475,p00
l00476,p02
l00476,p01
l00476,p16
l00476,p11
l00476,p28
l00477,p00
l00477,p35
l00477,p01
l00477,p02
l00477,p05
l00478,p02
l00479,p05
l00479,p02
l00479,p01
l00479,p06
l00480,p02
l00480,p01
l00481,p02
l00482,p03
l00482,p00
l00482,p02
l00482,p05
l00482,p01
l00483,p00
l00483,p35
l00483,p06
l00483,p02
l00483,p01
