NoncodeGeneID,LncbookGeneID,l_ID
NONHSAG057632.1,HSALNG0002135,l00653
-,HSALNG0002144,l00654
-,HSALNG0002146,l00655
-,HSALNG0002156,l00656
-,HSALNG0002160,l00657
-,HSALNG0141717,l00658
-,HSALNG0142155,l00659
-,HSALNG0141718,l00660
-,HSALNG0002168,l00661
NONHSAG000875.2,HSALNG0002169,l00662
NONHSAG056273.1,HSALNG0002170,l00663
-,HSALNG0002186,l00664
-,HSALNG0002188,l00665
-,HSALNG0002187,l00666
NONHSAG000881.2,HSALNG0002197,l00667
-,HSALNG0002198,l00668
-,HSALNG0002200,l00669
NONHSAG000884.2,HSALNG0002203,l00670
NONHSAG000889.2,HSALNG0002210,l00671
-,HSALNG0002214,l00672
-,HSALNG0002218,l00673
-,HSALNG0002219,l00674
NONHSAG057639.1,HSALNG0002220,l00675
NONHSAG000901.2,HSALNG0002224,l00676
-,HSALNG0002234,l00677
-,HSALNG0002236,l00678
-,HSALNG0002239,l00679
-,HSALNG0002240,l00680
-,HSALNG0002242,l00681
NONHSAG000910.3,HSALNG0002248,l00682
-,HSALNG0142158,l00683
-,HSALNG0002251,l00684
NONHSAG057644.1,HSALNG0002254,l00685
-,HSALNG0002264,l00686
-,HSALNG0002268,l00687
NONHSAG000920.2,HSALNG0002269,l00688
-,HSALNG0002270,l00689
NONHSAG000924.2,HSALNG0002272,l00690
NONHSAG105346.1,HSALNG0002273,l00691
-,HSALNG0002275,l00692
-,HSALNG0002276,l00693
NONHSAG000925.3,HSALNG0002284,l00694
NONHSAG000926.3,HSALNG0002288,l00695
NONHSAG057649.1,HSALNG0002285,l00696
-,HSALNG0002286,l00697
-,HSALNG0141720,l00698
NONHSAG000931.2,HSALNG0002294,l00699
NONHSAG000932.2,HSALNG0002295,l00700
-,HSALNG0002297,l00701
NONHSAG000936.2,HSALNG0002298,l00702
-,HSALNG0002303,l00703
-,HSALNG0002304,l00704
-,HSALNG0002305,l00705
NONHSAG000941.2,HSALNG0002311,l00706
-,HSALNG0002315,l00707
-,HSALNG0002317,l00708
NONHSAG000945.2,HSALNG0002318,l00709
NONHSAG000946.2,HSALNG0002319,l00710
NONHSAG000948.2,HSALNG0002321,l00711
-,HSALNG0002325,l00712
-,HSALNG0002327,l00713
-,HSALNG0141721,l00714
NONHSAG057656.1,HSALNG0002332,l00715
-,HSALNG0002333,l00716
-,HSALNG0002338,l00717
-,HSALNG0002342,l00718
NONHSAG104865.1,HSALNG0002345,l00719
-,HSALNG0002358,l00720
NONHSAG105349.1,HSALNG0002359,l00721
NONHSAG057660.1,HSALNG0002360,l00722
-,HSALNG0002366,l00723
-,HSALNG0002367,l00724
NONHSAG000968.2,HSALNG0002368,l00725
-,HSALNG0002369,l00726
-,HSALNG0002370,l00727
-,HSALNG0141722,l00728
-,HSALNG0002371,l00729
-,HSALNG0002373,l00730
-,HSALNG0002381,l00731
NONHSAG000972.2,HSALNG0002377,l00732
NONHSAG000973.2,HSALNG0002378,l00733
NONHSAG000976.2,HSALNG0002382,l00734
NONHSAG056289.1,HSALNG0002384,l00735
NONHSAG056290.1,HSALNG0141723,l00736
NONHSAG000978.2,HSALNG0002390,l00737
NONHSAG000979.2,HSALNG0002393,l00738
NONHSAG000981.3,HSALNG0002394,l00739
-,HSALNG0002397,l00740
-,HSALNG0002398,l00741
-,HSALNG0002399,l00742
-,HSALNG0142161,l00743
-,HSALNG0002412,l00744
-,HSALNG0002415,l00745
-,HSALNG0002421,l00746
NONHSAG000994.2,HSALNG0002422,l00747
-,HSALNG0002424,l00748
-,HSALNG0002430,l00749
-,HSALNG0002441,l00750
-,HSALNG0002442,l00751
NONHSAG000999.2,HSALNG0002446,l00752
-,HSALNG0002447,l00753
-,HSALNG0002450,l00754
-,HSALNG0002463,l00755
-,HSALNG0142163,l00756
-,HSALNG0002464,l00757
-,HSALNG0142164,l00758
NONHSAG001008.2,HSALNG0002472,l00759
-,HSALNG0141727,l00760
-,HSALNG0002474,l00761
-,HSALNG0002475,l00762
NONHSAG105352.1,HSALNG0002476,l00763
-,HSALNG0002481,l00764
NONHSAG001014.2,HSALNG0002484,l00765
-,HSALNG0002489,l00766
NONHSAG001018.2,HSALNG0002491,l00767
-,HSALNG0002499,l00768
-,HSALNG0002502,l00769
NONHSAG001026.3,HSALNG0002504,l00770
NONHSAG105354.1,HSALNG0002505,l00771
-,HSALNG0002512,l00772
-,HSALNG0002513,l00773
-,HSALNG0002519,l00774
NONHSAG056309.1,HSALNG0002520,l00775
-,HSALNG0141730,l00776
