NoncodeGeneID,LncbookGeneID,l_ID
NONHSAG034087.2,HSALNG0135800,l00359
NONHSAG034128.3,HSALNG0135916,l00360
NONHSAG000831.3,HSALNG0002045,l00361
NONHSAG035165.2,HSALNG0026136,l00362
NONHSAG111538.1,HSALNG0027549,l00363
NONHSAG035626.2,HSALNG0027641,l00364
NONHSAG085701.1,HSALNG0028356,l00365
NONHSAG084937.2,HSALNG0028800,l00366
NONHSAG111412.1,HSALNG0031819,l00367
NONHSAG035158.2,HSALNG0026119,l00368
NONHSAG001118.2,HSALNG0002774,l00369
NONHSAG035347.3,HSALNG0026614,l00370
NONHSAG035369.2,HSALNG0026692,l00371
NONHSAG035786.3,-,l00372
NONHSAG001304.2,HSALNG0003266,l00373
NONHSAG036309.2,HSALNG0029620,l00374
NONHSAG010307.2,HSALNG0088866,l00375
NONHSAG023844.3,HSALNG0121509,l00376
NONHSAG002325.2,HSALNG0005856,l00377
NONHSAG008552.3,HSALNG0084672,l00378
NONHSAG031750.3,HSALNG0129985,l00379
NONHSAG000840.3,HSALNG0002075,l00380
NONHSAG044283.3,HSALNG0051708,l00381
NONHSAG006674.3,HSALNG0080088,l00382
NONHSAG004699.2,HSALNG0011683,l00383
NONHSAG021674.2,-,l00384
NONHSAG047803.3,HSALNG0058515,l00385
NONHSAG003091.2,HSALNG0007532,l00386
-,HSALNG0114322,l00387
NONHSAG012033.2,-,l00388
NONHSAG084575.1,-,l00389
NONHSAG053479.2,HSALNG0074500,l00390
NONHSAG076023.1,-,l00391
NONHSAG050843.2,HSALNG0067185,l00392
NONHSAG000835.3,HSALNG0002066,l00393
NONHSAG079454.2,-,l00394
NONHSAG022495.3,HSALNG0118080,l00395
NONHSAG036052.3,HSALNG0028888,l00396
NONHSAG009374.2,HSALNG0086485,l00397
-,HSALNG0012976,l00398
-,HSALNG0021600,l00399
NONHSAG069030.2,HSALNG0103778,l00400
NONHSAG016307.3,HSALNG0104546,l00401
NONHSAG014360.2,HSALNG0099781,l00402
-,HSALNG0064469,l00403
-,HSALNG0082920,l00404
NONHSAG009897.2,HSALNG0087806,l00405
NONHSAG017225.2,-,l00406
NONHSAG026242.2,-,l00407
NONHSAG021328.2,HSALNG0115504,l00408
NONHSAG056405.1,HSALNG0003204,l00409
NONHSAG093126.1,HSALNG0049337,l00410
NONHSAG021329.3,HSALNG0115505,l00411
NONHSAG050272.2,HSALNG0065452,l00412
-,HSALNG0128202,l00413
NONHSAG023837.2,HSALNG0121483,l00414
NONHSAG018315.3,HSALNG0108990,l00415
-,HSALNG0045190,l00416
NONHSAG020350.2,-,l00417
NONHSAG040258.2,HSALNG0041392,l00418
NONHSAG036783.3,HSALNG0031034,l00419
NONHSAG000498.3,HSALNG0001229,l00420
NONHSAG020759.3,HSALNG0114404,l00421
NONHSAG054779.2,HSALNG0138601,l00422
NONHSAG041144.2,HSALNG0043800,l00423
NONHSAG019321.2,HSALNG0111125,l00424
NONHSAG040592.3,HSALNG0042410,l00425
NONHSAG026721.3,HSALNG0127948,l00426
NONHSAG014079.2,HSALNG0098983,l00427
NONHSAG010430.3,HSALNG0089113,l00428
NONHSAG010419.2,HSALNG0089088,l00429
NONHSAG034066.2,HSALNG0135737,l00430
NONHSAG011229.2,HSALNG0091261,l00431
NONHSAG012663.2,HSALNG0094884,l00432
NONHSAG102161.1,HSALNG0073054,l00433
NONHSAG028082.3,HSALNG0015751,l00434
NONHSAG009166.2,HSALNG0085936,l00435
NONHSAG043851.2,HSALNG0050286,l00436
-,HSALNG0116600,l00437
NONHSAG037997.3,HSALNG0034586,l00438
NONHSAG009520.2,HSALNG0086911,l00439
NONHSAG021623.2,HSALNG0145275,l00440
NONHSAG021622.2,HSALNG0116077,l00441
NONHSAG073902.1,HSALNG0119188,l00442
NONHSAG050712.2,HSALNG0066859,l00443
-,HSALNG0118412,l00444
NONHSAG037204.3,HSALNG0032140,l00445
NONHSAG037204.3,HSALNG0032138,l00446
NONHSAG018328.2,-,l00447
NONHSAG053833.3,-,l00448
NONHSAG108970.1,HSALNG0118422,l00449
-,HSALNG0118399,l00450
NONHSAG022611.2,HSALNG0118391,l00451
NONHSAG048135.2,HSALNG0059390,l00452
NONHSAG049152.2,HSALNG0062322,l00453
NONHSAG032387.3,HSALNG0131940,l00454
-,HSALNG0098704,l00455
NONHSAG085972.1,HSALNG0031194,l00456
-,HSALNG0109764,l00457
NONHSAG019207.2,-,l00458
NONHSAG057967.1,HSALNG0005329,l00459
NONHSAG015454.2,HSALNG0102422,l00460
NONHSAG043414.2,-,l00461
-,HSALNG0031198,l00462
NONHSAG035726.2,-,l00463
NONHSAG098034.2,HSALNG0058863,l00464
NONHSAG068767.1,HSALNG0101202,l00465
NONHSAG109467.1,HSALNG0123096,l00466
NONHSAG021176.2,HSALNG0115218,l00467
NONHSAG017620.2,HSALNG0107621,l00468
NONHSAG017620.2,HSALNG0107615,l00469
-,HSALNG0108017,l00470
-,HSALNG0108015,l00471
-,HSALNG0099962,l00472
-,HSALNG0147794,l00473
NONHSAG085543.1,HSALNG0147534,l00474
-,HSALNG0008750,l00475
NONHSAG006923.2,HSALNG0080810,l00476
-,HSALNG0032717,l00477
NONHSAG041894.2,HSALNG0045741,l00478
NONHSAG020441.3,HSALNG0113778,l00479
NONHSAG038483.2,-,l00480
NONHSAG033272.3,HSALNG0134024,l00481
NONHSAG033275.2,-,l00482
NONHSAG033254.3,HSALNG0133982,l00483
NONHSAG048715.2,HSALNG0150053,l00484
NONHSAG048717.2,-,l00485
NONHSAG048626.2,HSALNG0060798,l00486
NONHSAG048195.2,HSALNG0059521,l00487
NONHSAG048720.2,HSALNG0061137,l00488
NONHSAG048707.2,HSALNG0061106,l00489
NONHSAG034269.2,-,l00490
